"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - Loss/Train","FCNN_Late_Fusion_ultrasound - Loss/Train__MIN","FCNN_Late_Fusion_ultrasound - Loss/Train__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - Loss/Train","FCNN_Mid_Fusion_ultrasound - Loss/Train__MIN","FCNN_Mid_Fusion_ultrasound - Loss/Train__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - Loss/Train","FCNN_no_ultrasound - Loss/Train__MIN","FCNN_no_ultrasound - Loss/Train__MAX","IMAV_Late_Fusion_ultrasound - _step","IMAV_Late_Fusion_ultrasound - _step__MIN","IMAV_Late_Fusion_ultrasound - _step__MAX","IMAV_Late_Fusion_ultrasound - Loss/Train","IMAV_Late_Fusion_ultrasound - Loss/Train__MIN","IMAV_Late_Fusion_ultrasound - Loss/Train__MAX","IMAV_Mid_Fusion_ultrasound - _step","IMAV_Mid_Fusion_ultrasound - _step__MIN","IMAV_Mid_Fusion_ultrasound - _step__MAX","IMAV_Mid_Fusion_ultrasound - Loss/Train","IMAV_Mid_Fusion_ultrasound - Loss/Train__MIN","IMAV_Mid_Fusion_ultrasound - Loss/Train__MAX","IMAV_no_ultrasound - _step","IMAV_no_ultrasound - _step__MIN","IMAV_no_ultrasound - _step__MAX","IMAV_no_ultrasound - Loss/Train","IMAV_no_ultrasound - Loss/Train__MIN","IMAV_no_ultrasound - Loss/Train__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - Loss/Train","UNet_Late_Fusion_ultrasound - Loss/Train__MIN","UNet_Late_Fusion_ultrasound - Loss/Train__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - Loss/Train","UNet_Mid_Fusion_ultrasound - Loss/Train__MIN","UNet_Mid_Fusion_ultrasound - Loss/Train__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - Loss/Train","UNet_no_ultrasound - Loss/Train__MIN","UNet_no_ultrasound - Loss/Train__MAX"
"36","108","108","108","0.14988785392294326","0.14988785392294326","0.14988785392294326","108","108","108","0.14305539460231861","0.14305539460231861","0.14305539460231861","108","108","108","0.2047213977202773","0.2047213977202773","0.2047213977202773","","","","","","","","","","","","","","","","","","","108","108","108","0.13315021712332964","0.13315021712332964","0.13315021712332964","108","108","108","0.14123040437698364","0.14123040437698364","0.14123040437698364","108","108","108","0.17589251759151617","0.17589251759151617","0.17589251759151617"
"37","111","111","111","0.14901801260809103","0.14901801260809103","0.14901801260809103","111","111","111","0.14229878845314184","0.14229878845314184","0.14229878845314184","111","111","111","0.20441142314424118","0.20441142314424118","0.20441142314424118","","","","","","","","","","","","","","","","","","","111","111","111","0.1329019128655394","0.1329019128655394","0.1329019128655394","111","111","111","0.1406639258687695","0.1406639258687695","0.1406639258687695","111","111","111","0.17615036511172852","0.17615036511172852","0.17615036511172852"
"38","114","114","114","0.14852864729861417","0.14852864729861417","0.14852864729861417","114","114","114","0.14150232262909412","0.14150232262909412","0.14150232262909412","114","114","114","0.20436035872747502","0.20436035872747502","0.20436035872747502","","","","","","","","","","","","","","","","","","","114","114","114","0.13278706651180983","0.13278706651180983","0.13278706651180983","114","114","114","0.13994946920623383","0.13994946920623383","0.13994946920623383","114","114","114","0.1751076631868879","0.1751076631868879","0.1751076631868879"
"39","117","117","117","0.14933724825580916","0.14933724825580916","0.14933724825580916","117","117","117","0.1417927360162139","0.1417927360162139","0.1417927360162139","117","117","117","0.20420505541066328","0.20420505541066328","0.20420505541066328","","","","","","","","","","","","","","","","","","","117","117","117","0.13269113826875886","0.13269113826875886","0.13269113826875886","117","117","117","0.1397956913957993","0.1397956913957993","0.1397956913957993","117","117","117","0.1749194199219346","0.1749194199219346","0.1749194199219346"
"40","","","","","","","120","120","120","0.14094689581543207","0.14094689581543207","0.14094689581543207","120","120","120","0.2063337458918492","0.2063337458918492","0.2063337458918492","","","","","","","","","","","","","","","","","","","120","120","120","0.13246889396881065","0.13246889396881065","0.13246889396881065","120","120","120","0.13897102450331053","0.13897102450331053","0.13897102450331053","120","120","120","0.17504463996738195","0.17504463996738195","0.17504463996738195"
"41","","","","","","","123","123","123","0.14126252476125956","0.14126252476125956","0.14126252476125956","123","123","123","0.20373699037979046","0.20373699037979046","0.20373699037979046","","","","","","","","","","","","","","","","","","","123","123","123","0.13251576914141575","0.13251576914141575","0.13251576914141575","123","123","123","0.13898798637092113","0.13898798637092113","0.13898798637092113","123","123","123","0.17448570330937704","0.17448570330937704","0.17448570330937704"
"42","","","","","","","126","126","126","0.14135819797714552","0.14135819797714552","0.14135819797714552","126","126","126","0.20303009171038866","0.20303009171038866","0.20303009171038866","","","","","","","","","","","","","","","","","","","126","126","126","0.13226385011027256","0.13226385011027256","0.13226385011027256","126","126","126","0.1385390137632688","0.1385390137632688","0.1385390137632688","126","126","126","0.17371739416072765","0.17371739416072765","0.17371739416072765"
"43","","","","","","","129","129","129","0.14173572634657225","0.14173572634657225","0.14173572634657225","129","129","129","0.20287160792698464","0.20287160792698464","0.20287160792698464","","","","","","","","","","","","","","","","","","","129","129","129","0.13221922128771743","0.13221922128771743","0.13221922128771743","129","129","129","0.1373182156433662","0.1373182156433662","0.1373182156433662","129","129","129","0.17326716178407273","0.17326716178407273","0.17326716178407273"
"44","","","","","","","132","132","132","0.14118390685568252","0.14118390685568252","0.14118390685568252","","","","","","","","","","","","","","","","","","","","","","","","","132","132","132","0.13202077274521193","0.13202077274521193","0.13202077274521193","132","132","132","0.13775423231224218","0.13775423231224218","0.13775423231224218","132","132","132","0.17341318260878325","0.17341318260878325","0.17341318260878325"
"45","","","","","","","135","135","135","0.14182020537555218","0.14182020537555218","0.14182020537555218","","","","","","","","","","","","","","","","","","","","","","","","","135","135","135","0.13194032292813063","0.13194032292813063","0.13194032292813063","135","135","135","0.13634980594118437","0.13634980594118437","0.13634980594118437","135","135","135","0.17262588875989118","0.17262588875989118","0.17262588875989118"
"46","","","","","","","138","138","138","0.1404514629393816","0.1404514629393816","0.1404514629393816","","","","","","","","","","","","","","","","","","","","","","","","","138","138","138","0.13207497416685024","0.13207497416685024","0.13207497416685024","138","138","138","0.13534952203432718","0.13534952203432718","0.13534952203432718","138","138","138","0.17256887753804526","0.17256887753804526","0.17256887753804526"
"47","","","","","","","141","141","141","0.1411901063596209","0.1411901063596209","0.1411901063596209","","","","","","","","","","","","","","","","","","","","","","","","","141","141","141","0.13178888646264872","0.13178888646264872","0.13178888646264872","141","141","141","0.13533606659621","0.13533606659621","0.13533606659621","141","141","141","0.1724286029736201","0.1724286029736201","0.1724286029736201"
"48","","","","","","","144","144","144","0.14056543229768673","0.14056543229768673","0.14056543229768673","","","","","","","","","","","","","","","","","","","","","","","","","144","144","144","0.13178148151685795","0.13178148151685795","0.13178148151685795","144","144","144","0.1352826381723086","0.1352826381723086","0.1352826381723086","144","144","144","0.17243031288186708","0.17243031288186708","0.17243031288186708"
"49","","","","","","","147","147","147","0.14032760945459208","0.14032760945459208","0.14032760945459208","","","","","","","","","","","","","","","","","","","","","","","","","147","147","147","0.13165945606306195","0.13165945606306195","0.13165945606306195","147","147","147","0.13335755777855715","0.13335755777855715","0.13335755777855715","147","147","147","0.17218769310663143","0.17218769310663143","0.17218769310663143"
"50","","","","","","","150","150","150","0.14113935393591723","0.14113935393591723","0.14113935393591723","","","","","","","","","","","","","","","","","","","","","","","","","150","150","150","0.13173098831127086","0.13173098831127086","0.13173098831127086","150","150","150","0.13332615482310453","0.13332615482310453","0.13332615482310453","150","150","150","0.171544607107838","0.171544607107838","0.171544607107838"
"51","","","","","","","153","153","153","0.14031450791905323","0.14031450791905323","0.14031450791905323","","","","","","","","","","","","","","","","","","","","","","","","","153","153","153","0.13157798272247115","0.13157798272247115","0.13157798272247115","153","153","153","0.1327750294779738","0.1327750294779738","0.1327750294779738","153","153","153","0.17147709801793098","0.17147709801793098","0.17147709801793098"
"52","","","","","","","156","156","156","0.13963495815793672","0.13963495815793672","0.13963495815793672","","","","","","","","","","","","","","","","","","","","","","","","","156","156","156","0.13156868455310664","0.13156868455310664","0.13156868455310664","156","156","156","0.1326959514990449","0.1326959514990449","0.1326959514990449","156","156","156","0.1713022356852889","0.1713022356852889","0.1713022356852889"
"53","","","","","","","159","159","159","0.14011464671542248","0.14011464671542248","0.14011464671542248","","","","","","","","","","","","","","","","","","","","","","","","","159","159","159","0.13149147822211185","0.13149147822211185","0.13149147822211185","159","159","159","0.13104068643103042","0.13104068643103042","0.13104068643103042","159","159","159","0.17185030474017063","0.17185030474017063","0.17185030474017063"
"54","","","","","","","162","162","162","0.13982696024080118","0.13982696024080118","0.13982696024080118","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.13146114721894264","0.13146114721894264","0.13146114721894264","162","162","162","0.13051824364811182","0.13051824364811182","0.13051824364811182","162","162","162","0.1708286969612042","0.1708286969612042","0.1708286969612042"
"55","","","","","","","165","165","165","0.13999532287319502","0.13999532287319502","0.13999532287319502","","","","","","","","","","","","","","","","","","","","","","","","","165","165","165","0.13153774042924246","0.13153774042924246","0.13153774042924246","165","165","165","0.13049504176403084","0.13049504176403084","0.13049504176403084","165","165","165","0.17063899586598077","0.17063899586598077","0.17063899586598077"
"56","","","","","","","168","168","168","0.14001610285292068","0.14001610285292068","0.14001610285292068","","","","","","","","","","","","","","","","","","","","","","","","","168","168","168","0.13130350317806005","0.13130350317806005","0.13130350317806005","168","168","168","0.12975952696676055","0.12975952696676055","0.12975952696676055","168","168","168","0.17061653267592192","0.17061653267592192","0.17061653267592192"
"57","","","","","","","171","171","171","0.13914953575779995","0.13914953575779995","0.13914953575779995","","","","","","","","","","","","","","","","","","","","","","","","","171","171","171","0.13113736423353353","0.13113736423353353","0.13113736423353353","171","171","171","0.12953411104778448","0.12953411104778448","0.12953411104778448","171","171","171","0.17077543741712967","0.17077543741712967","0.17077543741712967"
"58","","","","","","","174","174","174","0.13907599852730831","0.13907599852730831","0.13907599852730831","","","","","","","","","","","","","","","","","","","","","","","","","174","174","174","0.13132991005356112","0.13132991005356112","0.13132991005356112","174","174","174","0.12882049133380255","0.12882049133380255","0.12882049133380255","174","174","174","0.1705845526109139","0.1705845526109139","0.1705845526109139"
"59","","","","","","","177","177","177","0.13977009151130915","0.13977009151130915","0.13977009151130915","","","","","","","","","","","","","","","","","","","","","","","","","177","177","177","0.13124832386771837","0.13124832386771837","0.13124832386771837","177","177","177","0.129249416757375","0.129249416757375","0.129249416757375","177","177","177","0.1702235173434019","0.1702235173434019","0.1702235173434019"
"60","","","","","","","180","180","180","0.13933931725720564","0.13933931725720564","0.13933931725720564","","","","","","","","","","","","","","","","","","","","","","","","","180","180","180","0.13115954383586845","0.13115954383586845","0.13115954383586845","180","180","180","0.12832231571276984","0.12832231571276984","0.12832231571276984","180","180","180","0.17021427862346172","0.17021427862346172","0.17021427862346172"
"61","","","","","","","183","183","183","0.13899778947234154","0.13899778947234154","0.13899778947234154","","","","","","","","","","","","","","","","","","","","","","","","","183","183","183","0.13101155046994487","0.13101155046994487","0.13101155046994487","183","183","183","0.12799716849500933","0.12799716849500933","0.12799716849500933","183","183","183","0.17018812211851278","0.17018812211851278","0.17018812211851278"
"62","","","","","","","186","186","186","0.13910865100721517","0.13910865100721517","0.13910865100721517","","","","","","","","","","","","","","","","","","","","","","","","","186","186","186","0.1310243095892171","0.1310243095892171","0.1310243095892171","186","186","186","0.12787824279318252","0.12787824279318252","0.12787824279318252","186","186","186","0.16993076478441557","0.16993076478441557","0.16993076478441557"
"63","","","","","","","189","189","189","0.138610844189922","0.138610844189922","0.138610844189922","","","","","","","","","","","","","","","","","","","","","","","","","189","189","189","0.13084702317913374","0.13084702317913374","0.13084702317913374","189","189","189","0.12762324465438724","0.12762324465438724","0.12762324465438724","189","189","189","0.1698444706077377","0.1698444706077377","0.1698444706077377"
"64","","","","","","","192","192","192","0.13879489370932183","0.13879489370932183","0.13879489370932183","","","","","","","","","","","","","","","","","","","","","","","","","192","192","192","0.13106673583388329","0.13106673583388329","0.13106673583388329","192","192","192","0.12696973700076342","0.12696973700076342","0.12696973700076342","192","192","192","0.1696051051840186","0.1696051051840186","0.1696051051840186"
"65","","","","","","","195","195","195","0.13820400492598614","0.13820400492598614","0.13820400492598614","","","","","","","","","","","","","","","","","","","","","","","","","195","195","195","0.13070679704348245","0.13070679704348245","0.13070679704348245","195","195","195","0.12706298800185323","0.12706298800185323","0.12706298800185323","195","195","195","0.16926833894103765","0.16926833894103765","0.16926833894103765"
"66","","","","","","","198","198","198","0.13824443705379963","0.13824443705379963","0.13824443705379963","","","","","","","","","","","","","","","","","","","","","","","","","198","198","198","0.13067317816118398","0.13067317816118398","0.13067317816118398","198","198","198","0.12708943290635943","0.12708943290635943","0.12708943290635943","198","198","198","0.16897820929686228","0.16897820929686228","0.16897820929686228"
"67","","","","","","","201","201","201","0.13876109663397074","0.13876109663397074","0.13876109663397074","","","","","","","","","","","","","","","","","","","","","","","","","201","201","201","0.13056456049283346","0.13056456049283346","0.13056456049283346","201","201","201","0.1265565015686055","0.1265565015686055","0.1265565015686055","201","201","201","0.1691502354418238","0.1691502354418238","0.1691502354418238"
"68","","","","","","","204","204","204","0.13763106086601815","0.13763106086601815","0.13763106086601815","","","","","","","","","","","","","","","","","","","","","","","","","204","204","204","0.13065262014667192","0.13065262014667192","0.13065262014667192","204","204","204","0.1260846151659886","0.1260846151659886","0.1260846151659886","204","204","204","0.16888796165585518","0.16888796165585518","0.16888796165585518"
"69","","","","","","","207","207","207","0.1379465168962876","0.1379465168962876","0.1379465168962876","","","","","","","","","","","","","","","","","","","","","","","","","207","207","207","0.1305302263547977","0.1305302263547977","0.1305302263547977","207","207","207","0.12590238420913616","0.12590238420913616","0.12590238420913616","207","207","207","0.16889856103807688","0.16889856103807688","0.16889856103807688"
"70","","","","","","","210","210","210","0.1373577375585834","0.1373577375585834","0.1373577375585834","","","","","","","","","","","","","","","","","","","","","","","","","210","210","210","0.1305843236235281","0.1305843236235281","0.1305843236235281","210","210","210","0.1257166527211666","0.1257166527211666","0.1257166527211666","210","210","210","0.16881650468955436","0.16881650468955436","0.16881650468955436"
"71","","","","","","","213","213","213","0.13833524317791066","0.13833524317791066","0.13833524317791066","","","","","","","","","","","","","","","","","","","","","","","","","213","213","213","0.13049397012218833","0.13049397012218833","0.13049397012218833","213","213","213","0.12523361295461655","0.12523361295461655","0.12523361295461655","213","213","213","0.1685455609112978","0.1685455609112978","0.1685455609112978"
"72","","","","","","","216","216","216","0.13816358242183924","0.13816358242183924","0.13816358242183924","","","","","","","","","","","","","","","","","","","","","","","","","216","216","216","0.130468788711975","0.130468788711975","0.130468788711975","216","216","216","0.12505112945412597","0.12505112945412597","0.12505112945412597","216","216","216","0.1685521717493733","0.1685521717493733","0.1685521717493733"
"73","","","","","","","219","219","219","0.13795334255943695","0.13795334255943695","0.13795334255943695","","","","","","","","","","","","","","","","","","","","","","","","","219","219","219","0.1303487285040319","0.1303487285040319","0.1303487285040319","219","219","219","0.12529684447993836","0.12529684447993836","0.12529684447993836","219","219","219","0.16837747177730003","0.16837747177730003","0.16837747177730003"
"74","","","","","","","222","222","222","0.13717861473560333","0.13717861473560333","0.13717861473560333","","","","","","","","","","","","","","","","","","","","","","","","","222","222","222","0.130363322639217","0.130363322639217","0.130363322639217","222","222","222","0.12508600686366358","0.12508600686366358","0.12508600686366358","222","222","222","0.1683787622799476","0.1683787622799476","0.1683787622799476"
"75","","","","","","","225","225","225","0.13765725928048292","0.13765725928048292","0.13765725928048292","","","","","","","","","","","","","","","","","","","","","","","","","225","225","225","0.13019256759434938","0.13019256759434938","0.13019256759434938","225","225","225","0.12455922753239672","0.12455922753239672","0.12455922753239672","225","225","225","0.16831708513200283","0.16831708513200283","0.16831708513200283"
"76","","","","","","","228","228","228","0.1374061368405819","0.1374061368405819","0.1374061368405819","","","","","","","","","","","","","","","","","","","","","","","","","228","228","228","0.13028005960707864","0.13028005960707864","0.13028005960707864","228","228","228","0.1244151823533078","0.1244151823533078","0.1244151823533078","228","228","228","0.16817773506045341","0.16817773506045341","0.16817773506045341"
"77","","","","","","","231","231","231","0.136998290506502","0.136998290506502","0.136998290506502","","","","","","","","","","","","","","","","","","","","","","","","","231","231","231","0.1302815666422248","0.1302815666422248","0.1302815666422248","231","231","231","0.1242288517144819","0.1242288517144819","0.1242288517144819","231","231","231","0.16814946196973324","0.16814946196973324","0.16814946196973324"
"78","","","","","","","234","234","234","0.1367099992930889","0.1367099992930889","0.1367099992930889","","","","","","","","","","","","","","","","","","","","","","","","","234","234","234","0.13016306857268015","0.13016306857268015","0.13016306857268015","234","234","234","0.12428527418524027","0.12428527418524027","0.12428527418524027","234","234","234","0.1680961304033796","0.1680961304033796","0.1680961304033796"
"79","","","","","","","237","237","237","0.13661399949342012","0.13661399949342012","0.13661399949342012","","","","","","","","","","","","","","","","","","","","","","","","","237","237","237","0.13009687202672163","0.13009687202672163","0.13009687202672163","237","237","237","0.12405472388491035","0.12405472388491035","0.12405472388491035","237","237","237","0.1679909930874904","0.1679909930874904","0.1679909930874904"
"80","","","","","","","240","240","240","0.13663786991188923","0.13663786991188923","0.13663786991188923","","","","","","","","","","","","","","","","","","","","","","","","","240","240","240","0.1302288107884427","0.1302288107884427","0.1302288107884427","240","240","240","0.12403898577516277","0.12403898577516277","0.12403898577516277","240","240","240","0.16776788141578436","0.16776788141578436","0.16776788141578436"
"81","","","","","","","243","243","243","0.13661974358061948","0.13661974358061948","0.13661974358061948","","","","","","","","","","","","","","","","","","","","","","","","","243","243","243","0.12997870178272328","0.12997870178272328","0.12997870178272328","243","243","243","0.12386727876340349","0.12386727876340349","0.12386727876340349","243","243","243","0.16866234069069228","0.16866234069069228","0.16866234069069228"
"82","","","","","","","246","246","246","0.13669328950345516","0.13669328950345516","0.13669328950345516","","","","","","","","","","","","","","","","","","","","","","","","","246","246","246","0.13020922181506953","0.13020922181506953","0.13020922181506953","246","246","246","0.12383290737246473","0.12383290737246473","0.12383290737246473","246","246","246","0.16766176372766495","0.16766176372766495","0.16766176372766495"
"83","","","","","","","249","249","249","0.13604436442255974","0.13604436442255974","0.13604436442255974","","","","","","","","","","","","","","","","","","","","","","","","","249","249","249","0.12987579917535186","0.12987579917535186","0.12987579917535186","249","249","249","0.12402240854377548","0.12402240854377548","0.12402240854377548","249","249","249","0.16748484379301468","0.16748484379301468","0.16748484379301468"
"84","","","","","","","252","252","252","0.13610475634535155","0.13610475634535155","0.13610475634535155","","","","","","","","","","","","","","","","","","","","","","","","","252","252","252","0.12993280868977308","0.12993280868977308","0.12993280868977308","252","252","252","0.12391858408227563","0.12391858408227563","0.12391858408227563","252","252","252","0.1673058858141303","0.1673058858141303","0.1673058858141303"
"85","","","","","","","255","255","255","0.136423551167051","0.136423551167051","0.136423551167051","","","","","","","","","","","","","","","","","","","","","","","","","255","255","255","0.12987322189534703","0.12987322189534703","0.12987322189534703","255","255","255","0.12377211855103572","0.12377211855103572","0.12377211855103572","255","255","255","0.1674193882693847","0.1674193882693847","0.1674193882693847"
"86","","","","","","","258","258","258","0.135681944899261","0.135681944899261","0.135681944899261","","","","","","","","","","","","","","","","","","","","","","","","","258","258","258","0.12983389540265003","0.12983389540265003","0.12983389540265003","258","258","258","0.12333560269325972","0.12333560269325972","0.12333560269325972","258","258","258","0.16737627082814774","0.16737627082814774","0.16737627082814774"
"87","","","","","","","261","261","261","0.13679017157604298","0.13679017157604298","0.13679017157604298","","","","","","","","","","","","","","","","","","","","","","","","","261","261","261","0.12989362825949988","0.12989362825949988","0.12989362825949988","261","261","261","0.12338262128954132","0.12338262128954132","0.12338262128954132","261","261","261","0.1673102332279086","0.1673102332279086","0.1673102332279086"
"88","","","","","","","264","264","264","0.13571258603284755","0.13571258603284755","0.13571258603284755","","","","","","","","","","","","","","","","","","","","","","","","","264","264","264","0.12972374400123954","0.12972374400123954","0.12972374400123954","264","264","264","0.12291468835125367","0.12291468835125367","0.12291468835125367","264","264","264","0.16741598335405192","0.16741598335405192","0.16741598335405192"
"89","","","","","","","267","267","267","0.13560196291655302","0.13560196291655302","0.13560196291655302","","","","","","","","","","","","","","","","","","","","","","","","","267","267","267","0.12982989087079963","0.12982989087079963","0.12982989087079963","267","267","267","0.12280851338679592","0.12280851338679592","0.12280851338679592","267","267","267","0.16695634772380194","0.16695634772380194","0.16695634772380194"
"90","","","","","","","270","270","270","0.13511976972222328","0.13511976972222328","0.13511976972222328","","","","","","","","","","","","","","","","","","","","","","","","","270","270","270","0.12997224911426505","0.12997224911426505","0.12997224911426505","270","270","270","0.12364335327098767","0.12364335327098767","0.12364335327098767","270","270","270","0.16709974687546492","0.16709974687546492","0.16709974687546492"
"91","","","","","","","273","273","273","0.13546202797442675","0.13546202797442675","0.13546202797442675","","","","","","","","","","","","","","","","","","","","","","","","","273","273","273","0.12985314832379422","0.12985314832379422","0.12985314832379422","273","273","273","0.12293340312317014","0.12293340312317014","0.12293340312317014","273","273","273","0.16676249882827202","0.16676249882827202","0.16676249882827202"
"92","","","","","","","276","276","276","0.13514422997832298","0.13514422997832298","0.13514422997832298","","","","","","","","","","","","","","","","","","","","","","","","","276","276","276","0.1296259119796256","0.1296259119796256","0.1296259119796256","276","276","276","0.1226851570730408","0.1226851570730408","0.1226851570730408","276","276","276","0.16669965193917355","0.16669965193917355","0.16669965193917355"
"93","","","","","","","279","279","279","0.13627672102302313","0.13627672102302313","0.13627672102302313","","","","","","","","","","","","","","","","","","","","","","","","","279","279","279","0.12959728374456367","0.12959728374456367","0.12959728374456367","279","279","279","0.1226075350617369","0.1226075350617369","0.1226075350617369","279","279","279","0.1670146637285749","0.1670146637285749","0.1670146637285749"
"94","","","","","","","282","282","282","0.13496880574772754","0.13496880574772754","0.13496880574772754","","","","","","","","","","","","","","","","","","","","","","","","","282","282","282","0.12957623228430748","0.12957623228430748","0.12957623228430748","282","282","282","0.1228669371145467","0.1228669371145467","0.1228669371145467","282","282","282","0.166549953011175","0.166549953011175","0.166549953011175"
"95","","","","","","","285","285","285","0.13522989582270384","0.13522989582270384","0.13522989582270384","","","","","","","","","","","","","","","","","","","","","","","","","285","285","285","0.1296776762853066","0.1296776762853066","0.1296776762853066","285","285","285","0.12242706725373864","0.12242706725373864","0.12242706725373864","285","285","285","0.16651302110403776","0.16651302110403776","0.16651302110403776"
"96","","","","","","","288","288","288","0.13532072522987923","0.13532072522987923","0.13532072522987923","","","","","","","","","","","","","","","","","","","","","","","","","288","288","288","0.12946181433896223","0.12946181433896223","0.12946181433896223","288","288","288","0.12253972049802542","0.12253972049802542","0.12253972049802542","288","288","288","0.16651755012571812","0.16651755012571812","0.16651755012571812"
"97","","","","","","","291","291","291","0.13531322963535786","0.13531322963535786","0.13531322963535786","","","","","","","","","","","","","","","","","","","","","","","","","291","291","291","0.12951578168819347","0.12951578168819347","0.12951578168819347","291","291","291","0.1218934425463279","0.1218934425463279","0.1218934425463279","291","291","291","0.1663730852305889","0.1663730852305889","0.1663730852305889"
"98","","","","","","","294","294","294","0.13546700961887836","0.13546700961887836","0.13546700961887836","","","","","","","","","","","","","","","","","","","","","","","","","294","294","294","0.12940877629444003","0.12940877629444003","0.12940877629444003","294","294","294","0.12220143837233384","0.12220143837233384","0.12220143837233384","","","","","",""
"99","","","","","","","297","297","297","0.13470779825001955","0.13470779825001955","0.13470779825001955","","","","","","","","","","","","","","","","","","","","","","","","","297","297","297","0.12941059283912182","0.12941059283912182","0.12941059283912182","297","297","297","0.12221316589663427","0.12221316589663427","0.12221316589663427","","","","","",""